loc,function_count,avg_function_length,max_function_length,cyclomatic_complexity,max_nesting_depth,total_issue_count,security_issue_count,duplication_ratio,dependency_risk_score,has_tests,structural_risk,security_risk,maintainability_risk,test_risk,overall_risk
150,7,0.0,0,3,0,0,0,0.27827180454504624,0.0,1,0.09,0.0,0.227,0.0,0.0769
100,1,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
274,21,0.0,0,8,0,6,0,0.27827180454504624,0.0,1,0.48,0.0,0.327,0.0,0.2334
57,1,0.0,0,2,0,0,0,0.27827180454504624,0.0,1,0.06,0.0,0.207,0.0,0.0624
32,1,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
65,3,0.0,0,2,0,0,0,0.27827180454504624,0.0,1,0.06,0.0,0.207,0.0,0.0624
11,1,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
243,10,0.0,0,7,0,0,0,0.27827180454504624,0.0,1,0.21,0.0,0.307,0.0,0.1349
377,23,0.0,0,5,0,5,0,0.27827180454504624,0.0,1,0.35,0.0,0.267,0.0,0.1759
65,0,0.0,0,8,3,2,1,0.27827180454504624,0.0,1,0.32,0.14,0.327,0.0,0.2194
29,0,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
16,0,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
7,0,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
96,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
10,0,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
35,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
21,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
27,1,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
66,2,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
141,16,0.0,0,2,0,1,0,0.31362178585494854,0.03,1,0.1,0.009,0.2282,0.0,0.0833
155,23,0.0,0,4,0,1,0,0.31362178585494854,0.03,1,0.16,0.009,0.2682,0.0,0.1123
212,22,0.0,0,7,0,1,0,0.31362178585494854,0.03,1,0.25,0.009,0.3282,0.0,0.1558
36,2,0.0,0,1,0,0,0,0.31362178585494854,0.03,1,0.03,0.009,0.2082,0.0,0.0548
